symbol,timeframe,strategy_name,fold,train_start,train_end,test_start,test_end,test_short_sma,test_long_sma,test_rsi_buy_threshold,test_use_macd_filter,test_tp_rate,test_sl_rate,test_lookahead_steps,test_reward_risk,test_signal_count,test_trade_count,test_total_pnl,test_avg_pnl,test_win_rate,test_gross_profit,test_gross_loss,test_profit_factor,test_final_equity,test_total_return,test_take_profit_count,test_stop_loss_count,test_time_exit_count
SOLUSDT,5m,sma8_30_rsi65_macd_tp030_sl015_lh72,35,2026-03-22 20:35:00+00:00,2026-04-09 05:10:00+00:00,2026-04-09 05:15:00+00:00,2026-04-12 16:30:00+00:00,8,30,65.0,True,0.03,0.015,72,2.0,9,7,35.05245920366826,5.007494171952609,42.857142857142854,47.00347939640585,11.951020192737587,3.933009788149215,10035.052459203667,0.3505245920366724,0,0,7
SOLUSDT,5m,sma12_50_rsi65_macd_tp030_sl012_lh72,35,2026-03-22 20:35:00+00:00,2026-04-09 05:10:00+00:00,2026-04-09 05:15:00+00:00,2026-04-12 16:30:00+00:00,12,50,65.0,True,0.03,0.012,72,2.5,5,4,32.08652226589231,8.021630566473078,75.0,33.58053557490359,1.4940133090112795,22.476731212740532,10032.086522265892,0.320865222658922,1,0,3
SOLUSDT,5m,sma10_80_rsi50_macd_tp030_sl006_lh96,35,2026-03-22 20:35:00+00:00,2026-04-09 05:10:00+00:00,2026-04-09 05:15:00+00:00,2026-04-12 16:30:00+00:00,10,80,50.0,True,0.03,0.006,96,5.0,7,7,31.006135014918186,4.429447859274027,42.857142857142854,56.596375974918146,25.59024095999996,2.211639040968149,10031.006135014917,0.31006135014917163,1,4,2
SOLUSDT,5m,sma5_30_rsi60_macd_tp020_sl015_lh96,36,2026-03-26 07:55:00+00:00,2026-04-12 16:30:00+00:00,2026-04-12 16:35:00+00:00,2026-04-16 03:50:00+00:00,5,30,60.0,True,0.02,0.015,96,1.3333333333333335,7,4,35.24889539076855,8.812223847692138,50.0,36.52201166443524,1.2731162736666874,28.687098279914856,10035.248895390769,0.3524889539076867,1,0,3
SOLUSDT,5m,sma5_30_rsi60_nomacd_tp020_sl015_lh96,36,2026-03-26 07:55:00+00:00,2026-04-12 16:30:00+00:00,2026-04-12 16:35:00+00:00,2026-04-16 03:50:00+00:00,5,30,60.0,False,0.02,0.015,96,1.3333333333333335,7,4,35.24889539076855,8.812223847692138,50.0,36.52201166443524,1.2731162736666874,28.687098279914856,10035.248895390769,0.3524889539076867,1,0,3
SOLUSDT,5m,sma8_30_rsi65_macd_tp030_sl015_lh72,36,2026-03-26 07:55:00+00:00,2026-04-12 16:30:00+00:00,2026-04-12 16:35:00+00:00,2026-04-16 03:50:00+00:00,8,30,65.0,True,0.03,0.015,72,2.0,7,4,31.50143857286139,7.875359643215347,75.0,46.8953991728614,15.393960600000014,3.046350474150321,10031.501438572861,0.31501438572860935,1,1,2
SOLUSDT,5m,sma12_50_rsi65_macd_tp030_sl012_lh72,36,2026-03-26 07:55:00+00:00,2026-04-12 16:30:00+00:00,2026-04-12 16:35:00+00:00,2026-04-16 03:50:00+00:00,12,50,65.0,True,0.03,0.012,72,2.5,6,5,20.729654210287322,4.1459308420574645,60.0,34.867657138024015,14.138002927736693,2.4662363783797763,10020.729654210289,0.20729654210288573,1,0,4
SOLUSDT,5m,sma10_80_rsi50_macd_tp030_sl006_lh96,36,2026-03-26 07:55:00+00:00,2026-04-12 16:30:00+00:00,2026-04-12 16:35:00+00:00,2026-04-16 03:50:00+00:00,10,80,50.0,True,0.03,0.006,96,5.0,11,9,-18.608675038483284,-2.067630559831476,22.22222222222222,26.174246641516675,44.78292167999996,0.5844693838545618,9981.391324961513,-0.1860867503848749,0,7,2
SOLUSDT,5m,sma5_30_rsi60_macd_tp020_sl015_lh96,37,2026-03-29 19:15:00+00:00,2026-04-16 03:50:00+00:00,2026-04-16 03:55:00+00:00,2026-04-19 15:10:00+00:00,5,30,60.0,True,0.02,0.015,96,1.3333333333333335,15,7,-34.74343472758551,-4.963347818226501,28.57142857142857,20.213354538222234,54.95678926580774,0.3678045025603106,9965.256565272413,-0.3474343472758665,1,2,4
SOLUSDT,5m,sma5_30_rsi60_nomacd_tp020_sl015_lh96,37,2026-03-29 19:15:00+00:00,2026-04-16 03:50:00+00:00,2026-04-16 03:55:00+00:00,2026-04-19 15:10:00+00:00,5,30,60.0,False,0.02,0.015,96,1.3333333333333335,16,8,-51.05582724689259,-6.381978405861574,25.0,20.213354538222234,71.26918178511482,0.2836198484664512,9948.944172753105,-0.510558272468952,1,3,4
SOLUSDT,5m,sma8_30_rsi65_macd_tp030_sl015_lh72,37,2026-03-29 19:15:00+00:00,2026-04-16 03:50:00+00:00,2026-04-16 03:55:00+00:00,2026-04-19 15:10:00+00:00,8,30,65.0,True,0.03,0.015,72,2.0,8,5,-3.603072021017283,-0.7206144042034566,40.0,38.51631646573321,42.119388486750495,0.9144557375957464,9996.396927978982,-0.03603072021018306,1,2,2
