symbol,timeframe,tp_rate,sl_rate,lookahead_steps,reward_risk,entry_count,tp_count,sl_count,time_exit_count,tp_rate_pct,sl_rate_pct,time_exit_rate_pct,avg_gross_return,avg_net_return,trade_count,total_pnl,avg_pnl,win_rate,profit_factor,final_equity,total_return,sim_tp_count,sim_sl_count,sim_time_exit_count
BTCUSDT,5m,0.008,0.006,6,1.3333333333333333,51571,2348,4455,44768,4.552946423377479,8.63857594384441,86.80847763277811,9.942155027542176e-06,-0.0011900578449724577,7796,-9223.481969369675,-1.1831044085902611,29.938429964084147,0.3888879421156387,776.5180306304266,-92.23481969369574,418,794,6584
BTCUSDT,5m,0.008,0.008,6,1.0,51571,2387,2433,46751,4.628570320528979,4.71776773768203,90.65366194178898,4.601677534483301e-06,-0.0011953983224655166,7636,-9243.415662130603,-1.21050493218054,29.21686746987952,0.3789598225285657,756.5843378694647,-92.43415662130535,418,437,6781
BTCUSDT,5m,0.006,0.008,6,0.75,51571,4442,2391,44738,8.613367978127243,4.636326617672723,86.75030540420003,4.554485983582063e-06,-0.0011954455140164178,7775,-9296.939362368757,-1.1957478279573965,30.649517684887464,0.3782320670774569,703.0606376312571,-92.96939362368742,755,444,6576
BTCUSDT,5m,0.01,0.004,6,2.5,51571,1248,9241,41082,2.419964708847996,17.9189854763336,79.66104981481841,7.413604858422479e-06,-0.0011925863951415775,8108,-9397.163413967473,-1.1589989410418688,29.033053774050323,0.3902327867104281,602.8365860327261,-93.97163413967273,251,1643,6214
BTCUSDT,5m,0.006,0.006,6,1.0,51571,4372,4388,42811,8.47763277811173,8.508657966686703,83.01370925520156,8.709509951348743e-06,-0.0011912904900486512,7942,-9423.202187086103,-1.1865024159010453,30.747922437673132,0.3820197845294322,576.7978129139448,-94.23202187086055,784,819,6339
BTCUSDT,5m,0.008,0.004,6,2.0,51571,2228,9215,40128,4.320257509065172,17.868569544899266,77.81117294603557,8.725368536458643e-06,-0.0011912746314635412,8183,-9432.42623139866,-1.1526855959182036,29.353537822314557,0.391220036090009,567.5737686015519,-94.32426231398448,442,1657,6084
BTCUSDT,5m,0.006,0.004,6,1.5,51571,4170,9105,38296,8.08593977235268,17.655271373446315,74.25878885420101,7.192468284709949e-06,-0.00119280753171529,8376,-9577.173429690825,-1.1434065699248837,30.26504297994269,0.3862607149808179,422.82657030937906,-95.77173429690622,817,1718,5841
BTCUSDT,5m,0.004,0.008,6,0.5,51571,9123,2279,40169,17.690174710593162,4.419150297647903,77.89067499175893,-4.088426474224399e-06,-0.0012040884264742243,8167,-9607.026658379227,-1.1763225980628416,33.59862862740297,0.3607530284001129,392.9733416207464,-96.07026658379255,1658,452,6057
BTCUSDT,5m,0.004,0.006,6,0.6666666666666666,51571,9013,4201,38357,17.476876539140214,8.146051075216691,74.37707238564309,-3.4017522050536327e-09,-0.001200003401752205,8374,-9634.705526873664,-1.15054997932573,33.81896345832338,0.36953936280894045,365.2944731263641,-96.34705526873637,1735,845,5794
BTCUSDT,5m,0.01,0.003,6,3.3333333333333335,51571,1169,13780,36622,2.2667778402590604,26.720443660196626,71.01277849954431,6.319870732227068e-06,-0.0011936801292677728,8576,-9682.805316180094,-1.1290584557112984,27.35541044776119,0.37963695070022874,317.19468381986997,-96.82805316180131,256,2571,5749
BTCUSDT,5m,0.008,0.003,6,2.6666666666666665,51571,2094,13747,35730,4.060421554749762,26.65645420876074,69.2831242364895,8.246675717006537e-06,-0.0011917533242829933,8675,-9727.046795088685,-1.1212734057739118,27.59654178674352,0.380166576028118,272.9532049112916,-97.27046795088708,453,2623,5599
BTCUSDT,5m,0.004,0.004,6,1.0,51571,8652,8817,34102,16.776870721917355,17.09681797909678,66.12631129898587,-4.081586855680843e-06,-0.0012040815868556807,8889,-9794.940972603785,-1.1019170854543576,33.0745865676679,0.37085811889763937,205.0590273963335,-97.94940972603666,1833,1826,5230
