symbol,timeframe,model_name,ml_proba_threshold,fold,train_rows,test_rows,train_start,train_end,test_start,test_end,accuracy,precision_1,recall_1,f1_1,signal_count,trade_count,win_count,loss_count,win_rate,total_pnl,avg_pnl,final_equity,total_return,take_profit_count,stop_loss_count,time_exit_count,profit_factor
BTCUSDT,5m,RandomForest,0.3,6,3000,500,2025-11-26 18:15:00+00:00,2025-12-07 04:10:00+00:00,2025-12-07 04:15:00+00:00,2025-12-08 21:50:00+00:00,0.774,0.1523809523809524,0.4,0.2206896551724138,219,32,17,15,53.125,-21.449920637159266,-0.6703100199112271,9978.550079362842,-0.21449920637158357,3,5,24,0.7114704896146989
BTCUSDT,5m,RandomForest,0.05,7,3000,500,2025-11-28 11:55:00+00:00,2025-12-08 21:50:00+00:00,2025-12-08 21:55:00+00:00,2025-12-10 15:30:00+00:00,0.87,0.2625,0.7777777777777778,0.3925233644859813,455,41,9,32,21.951219512195124,-55.78698136446394,-1.3606580820600962,9944.213018635535,-0.5578698136446474,4,1,36,0.4408384727265439
BTCUSDT,5m,RandomForest,0.08,7,3000,500,2025-11-28 11:55:00+00:00,2025-12-08 21:50:00+00:00,2025-12-08 21:55:00+00:00,2025-12-10 15:30:00+00:00,0.87,0.2625,0.7777777777777778,0.3925233644859813,410,41,11,30,26.82926829268293,-50.79783267445009,-1.2389715286451242,9949.202167325559,-0.5079783267444145,4,3,34,0.48839323838150717
BTCUSDT,5m,RandomForest,0.1,7,3000,500,2025-11-28 11:55:00+00:00,2025-12-08 21:50:00+00:00,2025-12-08 21:55:00+00:00,2025-12-10 15:30:00+00:00,0.87,0.2625,0.7777777777777778,0.3925233644859813,387,40,11,29,27.500000000000004,-42.046700329909754,-1.0511675082477439,9957.953299670098,-0.420467003299018,4,2,34,0.539175293645373
BTCUSDT,5m,RandomForest,0.12,7,3000,500,2025-11-28 11:55:00+00:00,2025-12-08 21:50:00+00:00,2025-12-08 21:55:00+00:00,2025-12-10 15:30:00+00:00,0.87,0.2625,0.7777777777777778,0.3925233644859813,363,40,12,28,30.0,-40.75200821247029,-1.018800205311757,9959.247991787539,-0.40752008212461077,4,2,34,0.5447611098097412
BTCUSDT,5m,RandomForest,0.15,7,3000,500,2025-11-28 11:55:00+00:00,2025-12-08 21:50:00+00:00,2025-12-08 21:55:00+00:00,2025-12-10 15:30:00+00:00,0.87,0.2625,0.7777777777777778,0.3925233644859813,330,40,13,27,32.5,-33.69319991788632,-0.8423299979471579,9966.30680008212,-0.3369319991787961,4,1,35,0.6034834825432358
BTCUSDT,5m,RandomForest,0.2,7,3000,500,2025-11-28 11:55:00+00:00,2025-12-08 21:50:00+00:00,2025-12-08 21:55:00+00:00,2025-12-10 15:30:00+00:00,0.87,0.2625,0.7777777777777778,0.3925233644859813,297,39,14,25,35.8974358974359,-31.078167862799887,-0.796876099046151,9968.921832137208,-0.31078167862791817,4,2,33,0.6249533975052204
BTCUSDT,5m,RandomForest,0.3,7,3000,500,2025-11-28 11:55:00+00:00,2025-12-08 21:50:00+00:00,2025-12-08 21:55:00+00:00,2025-12-10 15:30:00+00:00,0.87,0.2625,0.7777777777777778,0.3925233644859813,226,37,11,26,29.72972972972973,-34.75114576909198,-0.9392201559214047,9965.248854230917,-0.34751145769083447,4,2,31,0.5798750825346359
BTCUSDT,5m,RandomForest,0.05,8,3000,500,2025-11-30 05:35:00+00:00,2025-12-10 15:30:00+00:00,2025-12-10 15:35:00+00:00,2025-12-12 09:10:00+00:00,0.728,0.1793103448275862,0.6046511627906976,0.2765957446808511,416,45,13,32,28.888888888888886,-70.81226368007128,-1.5736058595571396,9929.187736319927,-0.7081226368007265,3,11,31,0.48836005853993314
BTCUSDT,5m,RandomForest,0.08,8,3000,500,2025-11-30 05:35:00+00:00,2025-12-10 15:30:00+00:00,2025-12-10 15:35:00+00:00,2025-12-12 09:10:00+00:00,0.728,0.1793103448275862,0.6046511627906976,0.2765957446808511,393,43,14,29,32.55813953488372,-70.44931078319405,-1.638356064725443,9929.550689216805,-0.7044931078319496,3,11,29,0.48585774584277525
